,weather,base,dt,timezone,id,name,cod,Lon,Lat,main.temp,main.feels_like,main.temp_min,Max Temp,main.pressure,Humidity,Wind Speed,wind.deg,wind.gust,rain.1h,Cloud Cover,sys.type,sys.id,Country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,message,visibility,snow.1h
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,1588986180.0,32400.0,2017155.0,Saskylakh,200,114.08,71.92,8.1,-1.8,8.1,8.1,1019.0,93.0,6.96,145.0,,,19.0,,,RU,0.0,0.0,1019.0,1018.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986180.0,43200.0,6201424.0,Mataura,200,168.86,-46.19,59.83,57.13,59.83,59.83,1019.0,62.0,3.47,28.0,,,0.0,,,NZ,1588967507.0,1589002216.0,1019.0,1013.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588986181.0,46800.0,4032243.0,Vaini,200,-175.2,-21.2,82.4,84.7,82.4,82.4,1014.0,83.0,16.11,30.0,,,75.0,1.0,7285.0,TO,1589047305.0,1589087563.0,,,,10000.0,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588986017.0,-21600.0,3587498.0,Acajutla,200,-89.83,13.59,81.14,82.83,77.0,84.2,1012.0,58.0,6.33,272.0,,,75.0,1.0,7209.0,SV,1588937697.0,1588983398.0,,,,10000.0,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986181.0,-28800.0,5866063.0,Kenai,200,-151.26,60.55,57.02,42.6,55.4,57.99,1022.0,33.0,18.34,90.0,,,90.0,1.0,7680.0,US,1588945125.0,1589005456.0,,,,16093.0,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986181.0,43200.0,2206939.0,Bluff,200,168.33,-46.6,57.29,52.61,57.29,57.29,1018.0,73.0,7.85,15.0,,,0.0,,,NZ,1588967700.0,1589002277.0,1018.0,1014.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986182.0,28800.0,1785036.0,Zhangye,200,100.45,38.93,56.37,46.76,56.37,56.37,1018.0,32.0,9.51,142.0,,,0.0,,,CN,1588975880.0,1589026678.0,1018.0,856.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986182.0,-14400.0,3648522.0,Barquisimeto,200,-69.32,10.07,78.26,78.24,78.26,78.26,1013.0,55.0,6.35,144.0,,,86.0,,,VE,1588933053.0,1588978197.0,1013.0,949.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588986038.0,7200.0,964420.0,Port Elizabeth,200,25.57,-33.92,60.8,61.74,60.8,60.8,1024.0,93.0,3.36,270.0,,,75.0,1.0,1973.0,ZA,1589000324.0,1589038176.0,,,,7000.0,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986155.0,7200.0,2518878.0,Denia,200,0.11,38.84,64.71,65.32,63.0,66.0,1014.0,86.0,5.01,249.0,8.01,,100.0,3.0,2010124.0,ES,1588999957.0,1589050764.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588985660.0,7200.0,3369157.0,Cape Town,200,18.42,-33.93,59.0,56.7,59.0,59.0,1019.0,87.0,6.93,170.0,,,93.0,1.0,1899.0,ZA,1589002042.0,1589039890.0,,,,10000.0,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588986183.0,32400.0,1651591.0,Amahai,200,128.92,-3.33,83.75,89.06,83.75,83.75,1010.0,72.0,7.67,136.0,,,52.0,,,ID,1588972888.0,1589016005.0,1010.0,1010.0,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588986183.0,-10800.0,3471451.0,Arraial do Cabo,200,-42.03,-22.97,71.4,69.33,71.4,71.4,1024.0,57.0,6.64,186.0,,,46.0,,,BR,1588929062.0,1588969089.0,1024.0,1023.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986183.0,7200.0,964432.0,Port Alfred,200,26.89,-33.59,62.01,61.99,62.01,62.01,1023.0,97.0,6.62,334.0,,,3.0,3.0,2011314.0,ZA,1588999971.0,1589037895.0,,,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,1588986183.0,14400.0,935215.0,Saint-Philippe,200,55.77,-21.36,67.35,61.54,60.01,71.6,1015.0,53.0,10.29,40.0,,,20.0,1.0,2127.0,RE,1588991870.0,1589032134.0,,,,10000.0,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588986183.0,25200.0,1649150.0,Bengkulu,200,102.27,-3.8,80.47,88.18,80.47,80.47,1010.0,77.0,2.28,40.0,,,66.0,,,ID,1588979319.0,1589022365.0,1010.0,1008.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986184.0,7200.0,3356832.0,Henties Bay,200,14.28,-22.12,68.38,64.29,68.38,68.38,1015.0,52.0,7.43,162.0,,,0.0,,,NA,1589001896.0,1589042023.0,1015.0,1013.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986184.0,43200.0,2194098.0,Ahipara,200,173.17,-35.17,65.41,61.54,65.41,65.41,1024.0,63.0,8.25,165.0,,,0.0,,,NZ,1588965018.0,1589002635.0,1024.0,1022.0,,,
